iso,name,lon,lat,size_pop,pop_basis,source
CAN,Winnipeg,-97.16599,49.88299,858000,urban_agglomeration,Demographia 2025
MEX,Saltillo,-101.00693,25.4219,855000,urban_agglomeration,Demographia 2025
USA,Sarasota,-82.53079,27.33612,852000,urban_agglomeration,Demographia 2025
MEX,Naucalpan de Juarez,-99.23963,19.47851,834434,city_limits,Mexico 2020 census (GeoNames)
MEX,Mexicali,-115.48196,32.65193,829000,urban_agglomeration,Demographia 2025
USA,Honolulu,-157.8583,21.30343,829000,urban_agglomeration,Demographia 2025
USA,Omaha,-96.00999,41.24,829000,urban_agglomeration,Demographia 2025
USA,McAllen,-98.22973,26.20304,822000,urban_agglomeration,Demographia 2025
CAN,Québec,-71.24561,46.83997,801000,urban_agglomeration,Demographia 2025
MEX,Hermosillo,-110.95406,29.09888,799000,urban_agglomeration,Demographia 2025
USA,Birmingham,-86.825,33.53001,780000,urban_agglomeration,Demographia 2025
MEX,Tampico,-97.87001,22.30002,768000,urban_agglomeration,Demographia 2025
USA,Albuquerque,-106.64133,35.10497,766000,urban_agglomeration,Demographia 2025
MEX,Morelia,-101.18949,19.73338,758000,urban_agglomeration,Demographia 2025
USA,Tulsa,-95.93002,36.12,748000,urban_agglomeration,Demographia 2025
USA,Charleston,-79.9921,32.79238,743000,urban_agglomeration,Demographia 2025
MEX,Veracruz,-96.15998,19.17734,733000,urban_agglomeration,Demographia 2025
USA,Fresno,-119.77298,36.74772,727000,urban_agglomeration,Demographia 2025
MEX,Alvaro Obregon,-99.20329,19.35867,726664,city_limits,Mexico 2020 census (GeoNames)
CAN,Mississauga,-79.6583,43.5789,717961,city_limits,Canada 2021 census (GeoNames)
MEX,Acapulco,-99.91598,16.84999,715000,urban_agglomeration,Demographia 2025
MEX,Culiacán,-107.38191,24.83194,712000,urban_agglomeration,Demographia 2025
USA,Rochester,-77.6219,43.17237,691000,urban_agglomeration,Demographia 2025
USA,Cape Coral,-81.97968,26.60291,679000,urban_agglomeration,Demographia 2025
MEX,Guadalupe,-100.25907,25.67663,673616,city_limits,Mexico 2020 census (GeoNames)
USA,Springfield,-72.58,42.12002,667000,urban_agglomeration,Demographia 2025
USA,Dayton,-84.20193,39.75232,665000,urban_agglomeration,Demographia 2025
MEX,Cancún,-86.83001,21.16996,661000,urban_agglomeration,Demographia 2025
CAN,Brampton,-79.76633,43.68341,656480,city_limits,Canada 2021 census (GeoNames)
MEX,Tlalnepantla,-99.19538,19.54005,653410,city_limits,Mexico 2020 census (GeoNames)
MEX,Tlaquepaque,-103.29342,20.64121,650123,city_limits,Mexico 2020 census (GeoNames)
MEX,Oaxaca,-96.66995,17.08269,642000,urban_agglomeration,Demographia 2025
